account_id,account_name,region_id,region_name,contract_tier,contract_start_date,renewal_date,churn_date
1,Wilson LLC,11,South West England,Basic,2025-04-21,2026-04-21,2025-09-08
2,Rowe Inc,3,North West England,Basic,2026-03-07,2027-03-07,2026-07-24
3,Lee Group,7,South Wales,Basic,2025-03-11,2026-03-11,2025-10-20
4,Harrison PLC,10,East England,Pro,2025-03-08,2026-03-08,
5,Watson-Thomas,12,South England,Basic,2025-11-29,2026-11-29,
6,"Barnes, Berry and O'Neill",5,South Yorkshire,Pro,2026-04-13,2027-04-13,
7,Morgan-Pickering,3,North West England,Basic,2026-02-15,2027-02-15,
8,Bartlett PLC,4,North East England,Basic,2026-06-28,2027-06-28,
9,Butler-White,7,South Wales,Basic,2025-04-13,2026-04-13,
10,"Read, Harrison and Hopkins",5,South Yorkshire,Pro,2026-04-12,2027-04-12,2026-08-07
11,Woods-Whittaker,7,South Wales,Pro,2025-04-04,2026-04-04,
12,"Davey, Brown and Price",10,East England,Pro,2026-05-22,2027-05-22,
13,Hanson-Stone,12,South England,Pro,2025-03-30,2026-03-30,2025-07-24
14,Stevenson LLC,2,South Scotland,Basic,2026-05-06,2027-05-06,
15,Morris Ltd,5,South Yorkshire,Basic,2025-10-13,2026-10-13,
16,Hussain and Sons,6,"North Wales, Merseyside and Cheshire",Basic,2025-08-23,2026-08-23,
17,"Barker, Singh and Fisher",11,South West England,Basic,2026-01-20,2027-01-20,2026-07-01
18,Bradley Ltd,12,South England,Basic,2025-06-28,2026-06-28,
19,"Jones, Marshall and Hayes",11,South West England,Pro,2026-02-10,2027-02-10,
20,Marshall Group,14,South East England,Basic,2026-03-23,2027-03-23,
21,"Baker, Turner and Goodwin",1,North Scotland,Basic,2026-04-11,2027-04-11,
22,Evans Ltd,4,North East England,Enterprise,2026-06-05,2027-06-05,
23,Bartlett LLC,6,"North Wales, Merseyside and Cheshire",Basic,2025-06-11,2026-06-11,
24,Murphy-Hargreaves,11,South West England,Basic,2025-10-15,2026-10-15,2025-12-25
